Observed,Predicted Probability,Standardised Residuals,Cook's Distance
0,0.01483443928273894,-0.12271028279194124,0.00015146209539724086
0,0.03948089457190734,-0.20274048841025213,0.0007310659151419556
1,0.9999943436073887,0.00237832390692599,1.7426065932236542e-10
0,0.0001993791041551131,-0.014121574420353805,8.739791015230583e-08
1,0.9999999976758127,4.8209825683926496e-05,6.004793990759498e-17
0,0.0023826153096899315,-0.04887029489854643,6.641521644538349e-06
1,0.9999997019424045,0.0005459465947617714,7.214683046582049e-13
0,0.0010477297670586218,-0.032385624219121084,1.629250958431292e-06
1,0.7713822593782445,0.5444025376511373,0.010180493607190996
1,0.9250878393121806,0.2845670919764552,0.0026077829842679028
1,0.9033082060870598,0.3271725290147878,0.0027010351960873066
1,0.8040221277465276,0.49370726552850325,0.01551094165205319
1,0.9738018713170105,0.16402114266892734,0.00041343343731677274
0,0.0037702264427407076,-0.06151824806737261,1.45311434397445e-05
1,0.3518359537410133,1.3572890948290222,0.11908940645056498
0,0.9466550012745175,-4.212588252179078,0.305834422223016
1,0.9999633112278956,0.006057236846927254,4.073333985313388e-09
0,0.013471652156720089,-0.11685724566162158,0.00012564917708068923
0,0.3086429844384306,-0.6681546847012328,0.026260429247976863
1,0.27135432084404393,1.638663673701128,0.10426186373218231
0,0.007137542284622805,-0.0847871041319465,4.282910364816308e-05
0,0.01483443928273894,-0.12271028279194124,0.00015146209539724086
0,0.45888010206274965,-0.9208796187753792,0.07026730698291771
1,0.9996387443669951,0.019010160067717514,2.253813831188078e-07
0,0.0003158981062036185,-0.017776330592984165,1.9663997071813242e-07
1,0.6398039820307331,0.7503190695380653,0.017634908904417046
0,0.1405568810080014,-0.40440590308996516,0.004694127111128516
1,0.9999889458843857,0.003324791393325154,4.330577488240535e-10
0,0.005409035152301895,-0.07374586042596006,2.84448533452746e-05
0,0.04335912721017319,-0.2128951655957856,0.000866206555733774
0,0.0037702264427407076,-0.06151824806737261,1.45311434397445e-05
1,0.9999998892487163,0.0003327931729548798,8.647720624209596e-14
1,0.999793217818539,0.01438140984657432,8.995009688220805e-08
1,0.9999999999935467,2.540331150259318e-06,7.946966290668843e-22
1,0.9999996933554124,0.0005537550736940606,5.694161284176836e-13
1,0.9999998981254491,0.00031917794611265363,7.24098508402588e-14
1,0.9996072790922294,0.019821079639491843,2.9061379505701425e-07
1,0.7857807084954566,0.5221299530727611,0.043830318171872974
0,0.8760449154263316,-2.6584654080997656,0.15566114695518293
1,0.9999999989060404,3.30750599512499e-05,1.698896242630288e-17
1,0.9999999976425706,4.85533661900895e-05,5.902144559250441e-17
1,0.9994276773703065,0.023930114301010975,5.053008133114252e-07
1,0.9306758236619951,0.27292488940404636,0.001343236943893767
1,0.9367228680800904,0.2599069134437207,0.0015153672257975648
0,0.007864681461816191,-0.089033841814722,5.4306636129629256e-05
1,0.9999996003755818,0.0006321586651493035,9.7687762525277e-13
0,0.3518359537410133,-0.7367627160711625,0.0350900261353483
0,0.04335912721017319,-0.2128951655957856,0.000866206555733774
1,0.7713822593782445,0.5444025376511373,0.010180493607190996
0,0.07927112963746033,-0.29342130411108763,0.0021029516147961875
0,0.030157671153309796,-0.17633898355257085,0.000562776821203745
1,0.99999999959351,2.016159599273161e-05,2.1406072739170554e-18
0,0.04759944213824521,-0.22355846081588626,0.0015716191575870784
1,0.999999951363376,0.00022053713137704152,1.8133562884689393e-14
1,0.9999768462650831,0.004811888509177721,1.7351435934955488e-09
1,0.9999999959962016,6.327557522424532e-05,1.7948255383105333e-16
1,0.958552245157472,0.20794218871856276,0.000966547653859539
1,0.9998998560586578,0.010007695596668618,2.331499250798337e-08
0,0.0028548414415339794,-0.053507148074853066,9.264801755827037e-06
1,0.9999999996924855,1.753609016960592e-05,1.2795922687408478e-18
0,0.00041752951280993604,-0.020437806059425762,3.195785350513416e-07
0,0.030157671153309796,-0.17633898355257085,0.000562776821203745
0,0.0003158981062036185,-0.017776330592984165,1.9663997071813242e-07
1,0.9996387443669951,0.019010160067717514,2.253813831188078e-07
0,0.03643177905562697,-0.1944459740329655,0.0007453595729641832
0,0.012405291680033445,-0.11207638461195757,0.0001226436199920612
0,0.007137542284622805,-0.0847871041319465,4.282910364816308e-05
0,0.0007190469048096758,-0.026824695809947417,8.858672447002189e-07
1,0.8040221277465276,0.49370726552850325,0.01551094165205319
1,0.8040221277465276,0.49370726552850325,0.01551094165205319
1,0.981364957265419,0.13780022398312206,0.00032224066227355805
1,0.9925993430014937,0.08634717758297189,4.255848393560738e-05
1,0.8650347000306562,0.3949974551272716,0.005270881628317319
1,0.9999999959962016,6.327557522424532e-05,1.7948255383105333e-16
1,0.999997898208729,0.001449757113643906,2.0492711702889355e-11
